Montana,2003,79960,106615,588167,1,7,9,18.694,66.513,15.313
Nebraska,2003,150669,208757,1065283,2,13,14,16.427,60.937,13.529
Nevada,2003,192336,228424,1437719,3,14,20,15.123,60.195,13.733
New Hampshire,2003,114731,134285,839848,2,13,16,20.507,97.34,18.484
New Jersey,2003,733853,816302,5595385,11,48,86,14.527,58.683,15.305
New Mexico,2003,175489,218107,1142829,5,21,22,27.672,97.727,19.345
New York,2003,1571709,2047533,12344264,22,156,225,13.863,76.01,18.262
North Carolina,2003,701982,889092,5275688,9,44,83,12.36,48.985,15.661
North Dakota,2003,52643,82943,392000,1,5,4,17.942,55.6,11.194
Ohio,2003,983181,1251526,7227097,13,75,114,13.251,59.86,15.73
Oklahoma,2003,296942,415680,2144532,5,27,27,17.478,64.782,12.74
Oregon,2003,297247,392447,2296726,5,26,35,17.157,66.042,15.308
Pennsylvania,2003,1034227,1315867,8027780,17,95,160,16.775,72.473,19.975
Rhode Island,2003,87330,127440,690482,2,14,16,19.328,108.77,23.654
South Carolina,2003,356468,460716,2594007,7,30,46,19.457,65.493,17.775
South Dakota,2003,68362,93146,464319,1,5,5,18.187,55.313,11.427
Tennessee,2003,475614,636601,3743398,7,34,62,15.571,54.156,16.43
Texas,2003,2038642,2577160,12992311,50,158,216,24.457,61.39,16.632
Utah,2003,229590,356134,1248593,3,18,18,13.712,50.268,14.691
Vermont,2003,53561,70579,408025,1,7,7,21.168,102.593,16.116
Virginia,2003,617003,757538,4614672,8,45,89,13.387,59.707,19.198
Washington,2003,527419,676016,3890656,10,52,53,18.052,77.143,13.615
West Virginia,2003,138269,195092,1205827,3,17,19,22.364,85.855,15.804
Wisconsin,2003,478926,633007,3459808,11,46,66,22.503,72.009,19.21
Wyoming,2003,43883,60860,315000,1,5,4,16.939,80.33,12.805
Alabama,2004,380150,506120,2871062,6,31,43,15.926,60.775,15.039
Alaska,2004,68162,73462,373429,1,5,6,19.52,74.081,17.152
Arizona,2004,510698,643907,3549522,12,48,66,22.733,75.131,18.628
Arkansas,2004,232095,310177,1729803,4,20,23,16.42,62.876,13.2
California,2004,3290671,3974135,21850567,52,251,322,15.881,63.122,14.729
