Pennsylvania,2002,1028108,1290045,8009346,60,47,5,66.53,75.078,1.021,84,228,270,81.782,176.562,33.748,157,386,477,152.37,299.531,59.498
Rhode Island,2002,85295,126228,688500,5,4,1,78.864,100.183,1.456,9,38,39,108.629,299.258,56.975,16,58,64,182.929,457.112,92.868
South Carolina,2002,345629,458404,2574050,20,18,2,65.633,80.487,1.039,25,75,91,72.508,164.647,35.231,46,127,153,134.372,277.537,59.593
South Dakota,2002,69742,90990,459901,5,4,0,83.853,85.799,0.966,7,13,13,95.658,146.648,27.378,12,26,23,176.48,283.539,50.207
Tennessee,2002,473558,621828,3699537,22,20,2,50.895,55.023,1.044,30,83,106,63.729,133.951,28.782,58,131,164,121.494,210.736,44.399
Texas,2002,2018953,2512206,12788834,114,77,14,65.191,55.505,1.399,129,323,377,63.776,128.555,29.508,281,560,641,139.097,222.794,50.138
Utah,2002,229447,360378,1222045,10,12,1,44.975,52.627,1.309,12,34,26,52.963,95.254,21.456,25,75,48,110.808,207.679,39.256
Vermont,2002,53924,69851,403822,4,2,0,103.502,104.433,1.459,7,19,26,133.166,269.528,63.394,12,31,41,226.901,445.581,101.018
Virginia,2002,607438,739131,4560096,38,27,3,73.392,74.95,1.189,51,131,170,84.252,177.012,37.254,94,219,259,154.747,295.692,56.811
Washington,2002,528622,653701,3825493,31,19,3,71.435,71.117,1.606,48,139,184,91.051,212.184,48.161,93,236,346,176.449,361.625,90.454
West Virginia,2002,139163,194555,1197550,9,6,1,72.889,62.673,0.931,12,29,38,86.249,146.717,31.698,24,54,63,169.217,278.694,52.376
Wisconsin,2002,482686,620505,3425585,30,23,2,71.661,82.539,1.232,37,99,109,77.073,159.801,31.789,76,186,192,158.386,300.036,56.146
Wyoming,2002,45377,59114,310110,3,2,0,64.353,70.639,1.172,3,9,10,71.356,155.898,32.719,7,17,20,144.565,287.935,63.79
Alabama,2003,381563,503783,2834977,19,16,2,57.088,58.363,1.287,25,69,81,64.254,137.853,28.499,51,127,156,134.02,252.083,55.134
Alaska,2003,68492,69578,370098,4,2,0,77.867,76.329,1.374,8,16,26,120.174,230.09,70.333,13,25,43,184.432,360.904,115.565
Arizona,2003,498693,621802,3424675,27,17,3,66.348,56.403,1.31,42,93,134,83.331,149.255,39.126,83,163,233,165.624,261.7,68.067
Arkansas,2003,233184,306999,1703727,12,10,1,57.542,63.78,1.293,20,49,61,84.435,160.746,36.007,34,91,103,146.591,296.537,60.498
California,2003,3209345,3949889,21686129,169,139,13,61.018,66.741,1.087,273,641,1019,85.16,162.333,46.98,469,1099,1625,146.025,278.214,74.923
Colorado,2003,388793,501011,2828830,24,16,2,79.195,79.464,1.742,38,95,140,98.274,189.069,49.513,71,156,269,182.669,311.575,95.06
Connecticut,2003,295229,336200,2259754,21,12,2,85.348,80.66,1.337,26,81,97,86.594,240.934,43.078,55,132,174,185.335,393.699,77.005
Delaware,2003,67658,90513,522123,4,3,0,65.887,73.319,1.246,5,19,18,74.743,209.699,35.43,10,29,34,151.033,316.456,65.872
District of Columbia,2003,33384,70483,367787,2,3,0,59.079,70.045,1.517,2,14,19,58.815,199.276,51.537,4,22,39,132.777,308.746,105.871
Florida,2003,1376459,1658368,11277251,71,49,9,59.333,59.361,1.229,100,274,465,72.949,165.227,41.276,196,482,833,142.577,290.698,73.868
Georgia,2003,763519,967105,5276693,37,27,5,56.072,50.647,1.488,48,127,208,63.446,131.677,39.331,101,222,360,132.93,229.74,68.22
Hawaii,2003,100549,121734,791438,5,5,0,74.496,76.885,0.553,10,20,36,97.143,166.165,45.824,17,36,57,169.883,293.882,71.927
Idaho,2003,127839,168848,815805,7,5,1,65.401,58.319,1.806,9,19,25,72.93,112.63,31.254,18,39,45,142.118,231.887,55.047
Illinois,2003,1089901,1400520,7863343,59,45,5,61.566,65.27,1.245,69,233,292,63.355,166.403,37.179,150,393,541,137.64,280.394,68.792
Indiana,2003,546518,711380,3816240,27,23,4,57.637,73.332,1.609,42,105,139,76.125,146.987,36.302,74,204,249,135.516,286.406,65.226
Iowa,2003,243608,354296,1860596,12,14,1,52.555,75.162,1.289,16,46,54,63.757,130.912,28.953,30,96,105,121.457,270.63,56.458
Kansas,2003,237856,324390,1655732,13,12,1,60.363,77.109,1.411,18,44,49,76.294,136.021,29.683,33,78,93,138.37,239.584,55.971
Kentucky,2003,336908,453011,2611452,20,12,2,73.09,53.928,1.616,29,70,120,87.537,154.658,45.829,54,111,195,160.809,245.667,74.833
Louisiana,2003,403315,543941,2685275,21,18,2,58.623,62.845,1.285,26,81,84,64.466,149.076,31.175,50,128,146,123.636,235.769,54.53
Maine,2003,109954,134241,875886,6,5,1,72.125,89.526,1.512,13,32,47,116.931,240.029,54.21,20,49,70,183.212,368.605,79.638
Maryland,2003,485901,556047,3492188,27,18,2,63.718,65.503,1.174,36,100,113,74.22,180.508,32.42,73,166,228,150.635,298.567,65.239
Massachusetts,2003,512838,676402,4189790,29,22,3,72.817,79.163,1.563,53,177,239,102.753,261.292,57.023,92,258,414,179.881,380.997,98.697
Michigan,2003,902553,1108787,6328980,51,38,5,66.869,74.183,1.517,79,211,313,87.733,189.878,49.494,146,356,550,161.733,320.783,86.833
Minnesota,2003,442828,587599,3185052,24,20,3,64.39,70.807,1.531,36,95,127,80.81,161.686,39.921,73,169,231,164.205,287.126,72.379
Mississippi,2003,256982,349332,1720516,11,12,2,43.881,57.561,1.234,14,38,46,56.121,109.53,26.669,26,71,86,102.831,201.818,49.739
Missouri,2003,490972,642988,3583670,28,22,4,68.97,76.177,1.723,40,106,155,81.73,164.714,43.285,82,193,288,167.364,299.701,80.366
Montana,2003,79960,106615,588167,5,4,0,86.342,89.269,1.511,8,21,32,100.044,201.614,54.534,16,36,47,198.434,336.957,80.545
Nebraska,2003,150669,208757,1065283,8,7,1,61.677,62.505,1.415,11,30,34,73.885,143.892,32.371,21,51,66,136.142,242.177,61.845
