Wyoming,2002,45377,59114,310110,3,14,21,75.421,232.427,68.11,8,39,169,183.034,664.784,543.541
Alabama,2003,381563,503783,2834977,18,68,135,48.108,135.339,47.755,60,260,1137,156.793,517.024,400.951
Alaska,2003,68492,69578,370098,4,11,23,56.886,163.053,61.471,11,40,200,159.795,578.337,539.139
Arizona,2003,498693,621802,3424675,37,120,276,74.932,192.682,80.512,94,359,1807,189.373,577.218,527.693
Arkansas,2003,233184,306999,1703727,13,49,86,54.938,160.987,50.646,41,172,699,175.46,560.402,410.53
California,2003,3209345,3949889,21686129,204,655,1336,63.632,165.861,61.59,540,2206,11848,168.149,558.465,546.34
Colorado,2003,388793,501011,2828830,26,102,220,67.979,202.954,77.843,84,348,1754,215.55,694.074,619.989
Connecticut,2003,295229,336200,2259754,19,69,139,64.449,206.526,61.426,62,248,1440,208.635,737.902,637.355
Delaware,2003,67658,90513,522123,3,16,29,48.705,173.186,55.16,11,59,275,169.463,649.068,525.786
District of Columbia,2003,33384,70483,367787,1,11,33,34.653,161.876,89.181,4,46,215,122.514,649.751,584.301
Florida,2003,1376459,1658368,11277251,77,274,662,56.203,165.084,58.74,236,979,6086,171.702,590.095,539.709
Georgia,2003,763519,967105,5276693,32,122,275,41.268,126.086,52.186,119,523,2546,155.882,541.033,482.47
Hawaii,2003,100549,121734,791438,7,22,46,68.888,178.683,58.412,17,73,405,164.403,603.08,511.814
Idaho,2003,127839,168848,815805,9,28,52,72.771,164.014,63.65,22,95,414,172.111,560.028,508.06
Illinois,2003,1089901,1400520,7863343,66,290,563,60.232,207.046,71.647,191,920,4390,175.495,656.824,558.261
Indiana,2003,546518,711380,3816240,31,128,223,56.391,179.956,58.508,89,436,1878,162.039,612.815,492.214
Iowa,2003,243608,354296,1860596,18,83,131,73.137,233.338,70.658,48,252,1028,195.953,712.631,552.562
Kansas,2003,237856,324390,1655732,17,67,97,71.276,206.721,58.403,46,214,816,194.739,660.288,492.952
Kentucky,2003,336908,453011,2611452,18,64,137,54.279,140.969,52.647,66,260,1054,195.293,573.879,403.636
Louisiana,2003,403315,543941,2685275,24,86,176,59.615,158.87,65.69,74,324,1276,184.191,595.772,475.079
Maine,2003,109954,134241,875886,7,24,54,64.795,177.938,61.535,19,86,452,174.09,638.077,515.779
Maryland,2003,485901,556047,3492188,25,94,216,51.009,168.248,61.86,79,356,1909,161.87,640.565,546.79
Massachusetts,2003,512838,676402,4189790,34,134,287,65.844,198.341,68.437,112,478,2690,218.073,707.125,642.12
Michigan,2003,902553,1108787,6328980,54,191,385,60.237,172.448,60.76,164,733,3487,182.149,660.801,550.999
Minnesota,2003,442828,587599,3185052,30,121,220,67.087,205.74,68.953,82,406,1938,185.624,690.293,608.333
Mississippi,2003,256982,349332,1720516,10,47,92,40.312,134.545,53.524,35,177,643,137.503,507.433,373.632
Missouri,2003,490972,642988,3583670,35,125,264,70.962,193.884,73.638,99,410,1841,201.995,637.907,513.631
Montana,2003,79960,106615,588167,8,24,44,103.923,224.345,74.478,18,76,339,229.97,714.956,576.243
Nebraska,2003,150669,208757,1065283,12,47,74,81.821,222.919,69.239,30,149,611,200.955,711.813,573.19
Nevada,2003,192336,228424,1437719,13,41,99,66.876,180.282,68.791,33,129,711,174.098,562.625,494.352
New Hampshire,2003,114731,134285,839848,7,28,50,62.258,207.036,59.231,25,99,532,215.67,733.647,633.014
New Jersey,2003,733853,816302,5595385,41,125,298,55.589,152.665,53.259,138,521,3147,188.221,637.892,562.411
New Mexico,2003,175489,218107,1142829,14,46,91,80.395,210.921,79.368,36,130,560,203.31,596.785,490.229
New York,2003,1571709,2047533,12344264,86,323,661,54.891,157.617,53.577,299,1313,6910,190.07,641.408,559.801
North Carolina,2003,701982,889092,5275688,32,124,255,44.956,139.356,48.322,105,482,2214,149.474,542.5,419.666
North Dakota,2003,52643,82943,392000,5,23,28,91.496,272.941,71.286,12,63,238,233.857,756.124,607.165
Ohio,2003,983181,1251526,7227097,55,215,420,56.105,171.993,58.115,170,795,3901,172.421,635.106,539.708
Oklahoma,2003,296942,415680,2144532,20,72,120,68.094,173.486,55.878,52,246,919,173.96,591.356,428.716
